time_index,filename,distance_from_start,adjacent_distance,stage_label
0,0000.dat,0,1.52315948834802e-05,Early stage
1,0001.dat,1.52315948834802e-05,1.45818531512854e-05,Early stage
2,0002.dat,5.73780056895012e-05,1.36969469448633e-05,Early stage
3,0003.dat,0.000125744637997305,1.37755385258842e-05,Early stage
4,0004.dat,0.000216384529497238,1.35079706063967e-05,Early stage
5,0005.dat,0.000327900523674374,1.1783395245879e-05,Early stage
6,0006.dat,0.000458765445891185,1.24567647381557e-05,Early stage
7,0007.dat,0.000609641930784166,1.16650023970211e-05,Early stage
8,0008.dat,0.000774100411871537,1.04776297995546e-05,Early stage
9,0009.dat,0.000952721926326561,1.04526885271738e-05,Early stage
10,0010.dat,0.00114851407557748,1.11951173480396e-05,Early stage
11,0011.dat,0.00136626944047857,1.06027251332019e-05,Early stage
12,0012.dat,0.00160205111619816,9.22310018225403e-06,Early stage
13,0013.dat,0.00184231119316736,8.51431745918507e-06,Early stage
14,0014.dat,0.00209148764410572,8.79120528596289e-06,Early stage
15,0015.dat,0.00235837880871748,8.59298322730684e-06,Early stage
16,0016.dat,0.00263293991109459,8.29401017998777e-06,Early stage
17,0017.dat,0.00291487681047697,7.44770901273117e-06,Early stage
18,0018.dat,0.00320251253252046,7.59121682336605e-06,Early stage
19,0019.dat,0.00350726123444556,8.12525537430275e-06,Early stage
20,0020.dat,0.00382522310417022,7.84516171581373e-06,Early stage
21,0021.dat,0.00415243502017515,8.12123086302297e-06,Early stage
22,0022.dat,0.00449014110039236,7.69183915128036e-06,Early stage
23,0023.dat,0.00482818841296129,7.54155924242994e-06,Early stage
24,0024.dat,0.00518357910156619,7.58232784525692e-06,Early stage
25,0025.dat,0.00554294576840031,7.34236602706329e-06,Transition stage
26,0026.dat,0.00591750372216104,7.06562344798822e-06,Transition stage
27,0027.dat,0.00630139282715869,7.64749113169039e-06,Transition stage
28,0028.dat,0.00669309310499855,7.2935437047672e-06,Transition stage
29,0029.dat,0.00709710898708216,6.89672574916145e-06,Transition stage
30,0030.dat,0.00751163493557161,7.19337245969065e-06,Transition stage
31,0031.dat,0.0079402928383725,7.11910451955955e-06,Transition stage
32,0032.dat,0.00838545180858408,7.02928474927145e-06,Transition stage
33,0033.dat,0.00883202623231338,6.97038179053866e-06,Transition stage
34,0034.dat,0.00929821028198341,7.76526444867809e-06,Transition stage
35,0035.dat,0.00978962805409622,7.55547896957864e-06,Transition stage
36,0036.dat,0.0102827102554311,6.65879318373364e-06,Transition stage
37,0037.dat,0.0107772081172806,7.04339240220619e-06,Transition stage
38,0038.dat,0.011274459767657,7.33914236472621e-06,Transition stage
39,0039.dat,0.0117821062845023,7.13036922705967e-06,Transition stage
40,0040.dat,0.0122938276683427,7.01391842639065e-06,Transition stage
41,0041.dat,0.0128192658509543,6.30984923344347e-06,Transition stage
42,0042.dat,0.0133432172767981,6.73179061416729e-06,Transition stage
43,0043.dat,0.0138770963866103,7.07568283264681e-06,Transition stage
44,0044.dat,0.0144435993348732,6.53622186619351e-06,Transition stage
45,0045.dat,0.0149953935289674,6.94396498945871e-06,Transition stage
46,0046.dat,0.015556345951373,7.06866525046479e-06,Transition stage
47,0047.dat,0.0161242702100441,6.78879488746897e-06,Transition stage
48,0048.dat,0.0167069726494421,6.38712566003452e-06,Transition stage
49,0049.dat,0.0172927836575194,6.11969173303084e-06,Transition stage
50,0050.dat,0.0178906030918702,5.72721318448099e-06,Structure enhancement stage
51,0051.dat,0.0184880984458509,5.85496145721898e-06,Structure enhancement stage
52,0052.dat,0.0190842904070138,5.48175035797183e-06,Structure enhancement stage
53,0053.dat,0.0196902915521973,5.7929440480109e-06,Structure enhancement stage
54,0054.dat,0.0202972309617139,6.06102790889906e-06,Structure enhancement stage
55,0055.dat,0.0209343286480634,6.60874965097147e-06,Structure enhancement stage
56,0056.dat,0.0215814165948338,6.03414677691205e-06,Structure enhancement stage
57,0057.dat,0.0222377621711456,6.10016394542168e-06,Structure enhancement stage
58,0058.dat,0.0228879347702747,6.19278504698784e-06,Structure enhancement stage
59,0059.dat,0.0235534495848766,5.95614575416015e-06,Structure enhancement stage
60,0060.dat,0.0242289504400683,6.47503720752063e-06,Structure enhancement stage
61,0061.dat,0.0249267120773058,6.70647262479562e-06,Structure enhancement stage
62,0062.dat,0.02561193773905,5.67822433783505e-06,Structure enhancement stage
63,0063.dat,0.0263079125302597,5.96967206434318e-06,Structure enhancement stage
64,0064.dat,0.0270037731226036,6.10083927921057e-06,Structure enhancement stage
65,0065.dat,0.0276976776974203,5.77147866342997e-06,Structure enhancement stage
66,0066.dat,0.0284105873130294,6.84774277204259e-06,Structure enhancement stage
67,0067.dat,0.0291187295646673,5.53737428776735e-06,Structure enhancement stage
68,0068.dat,0.0298311921450261,5.77254377698289e-06,Structure enhancement stage
69,0069.dat,0.0305542338572188,5.92766654472499e-06,Structure enhancement stage
70,0070.dat,0.0312902149968324,6.33158859852934e-06,Structure enhancement stage
71,0071.dat,0.0320130708865785,6.52947352630662e-06,Structure enhancement stage
72,0072.dat,0.0327698697265676,5.73570632422804e-06,Structure enhancement stage
73,0073.dat,0.0335283315758691,6.1746260063833e-06,Structure enhancement stage
74,0074.dat,0.0343005301297893,5.65125839324665e-06,Structure enhancement stage
75,0075.dat,0.0350678972595694,6.52287718405642e-06,Late stage
76,0076.dat,0.0358448744511546,5.32235418304605e-06,Late stage
77,0077.dat,0.0365973661544066,6.91781193562502e-06,Late stage
78,0078.dat,0.0373925446880903,5.36076064994173e-06,Late stage
79,0079.dat,0.0381822740072749,5.73251488844573e-06,Late stage
80,0080.dat,0.0389839196188839,5.03392877226894e-06,Late stage
81,0081.dat,0.039777417118548,5.52207364745705e-06,Late stage
82,0082.dat,0.0405745472912296,5.48048307769111e-06,Late stage
83,0083.dat,0.0413673381800378,5.42877275166997e-06,Late stage
84,0084.dat,0.0421828081143906,5.20759853439579e-06,Late stage
85,0085.dat,0.0430139917097575,5.9606635356424e-06,Late stage
86,0086.dat,0.0438313332213807,5.48682751333462e-06,Late stage
87,0087.dat,0.0446403761124591,5.52011479804104e-06,Late stage
88,0088.dat,0.0454661324357531,5.70665207422216e-06,Late stage
89,0089.dat,0.0462996118228264,5.1291378868612e-06,Late stage
90,0090.dat,0.0471378419859424,5.295457718546e-06,Late stage
91,0091.dat,0.0479990253984616,5.61695015033337e-06,Late stage
92,0092.dat,0.0488552881501408,5.34771514248966e-06,Late stage
93,0093.dat,0.0496989992980551,5.31588173346975e-06,Late stage
94,0094.dat,0.0505124232338996,4.76742439536881e-06,Late stage
95,0095.dat,0.0513528840163989,4.92556157405399e-06,Late stage
96,0096.dat,0.052183897358409,5.15373875298319e-06,Late stage
97,0097.dat,0.0530198672735116,4.9277885341148e-06,Late stage
98,0098.dat,0.0538346381406332,5.4985920385775e-06,Late stage
99,0099.dat,0.054689408374066,NaN,Late stage
