time_index,filename,p99_density,p999_density
0,0000.dat,10.7254946994781,11.4782102308274
1,0001.dat,10.7267078304291,11.479279045105
2,0002.dat,10.727472114563,11.4817906322479
3,0003.dat,10.7281503295898,11.4832052679062
4,0004.dat,10.7289213466644,11.4853631229401
5,0005.dat,10.7295226287842,11.4860245141983
6,0006.dat,10.7304314994812,11.4853953037262
7,0007.dat,10.7306913280487,11.4884158754349
8,0008.dat,10.7309993267059,11.488877067566
9,0009.dat,10.7320312023163,11.491656367302
10,0010.dat,10.7329601383209,11.4928665313721
11,0011.dat,10.7333132362366,11.4930934410096
12,0012.dat,10.7339127826691,11.4950403356553
13,0013.dat,10.7350796890259,11.49475527668
14,0014.dat,10.7356409549713,11.4932541770936
15,0015.dat,10.7365789031982,11.4923097896576
16,0016.dat,10.7371195220947,11.4933256368638
17,0017.dat,10.7373702812195,11.4965660142899
18,0018.dat,10.7377952384949,11.4943087921143
19,0019.dat,10.7387403011322,11.4957570505143
20,0020.dat,10.7393201160431,11.495729013443
21,0021.dat,10.7399229335785,11.4969322443008
22,0022.dat,10.7398981571198,11.4980073776245
23,0023.dat,10.7401566410065,11.4995616922379
24,0024.dat,10.7405762481689,11.5000288324356
25,0025.dat,10.7401938152313,11.5001934432984
26,0026.dat,10.7404117012024,11.5008426456452
27,0027.dat,10.7403344345093,11.4997446184159
28,0028.dat,10.7410159015656,11.5016361122132
29,0029.dat,10.7418007564545,11.5029093313217
30,0030.dat,10.7423072052002,11.5036821174622
31,0031.dat,10.7429032230377,11.5031852416993
32,0032.dat,10.7437004375458,11.5037822694779
33,0033.dat,10.7436131668091,11.5032256383896
34,0034.dat,10.744387845993,11.5056857404709
35,0035.dat,10.7450189399719,11.5070996551515
36,0036.dat,10.7450125026703,11.5089163656235
37,0037.dat,10.7452656364441,11.5083587312699
38,0038.dat,10.7455060195923,11.510126771927
39,0039.dat,10.746047000885,11.5092009220123
40,0040.dat,10.7461942958832,11.51169003582
41,0041.dat,10.7464012050629,11.5137050361633
42,0042.dat,10.7472145748138,11.5158535556793
43,0043.dat,10.7479676628113,11.5162359457017
44,0044.dat,10.7487921047211,11.5184708156586
45,0045.dat,10.7494372367859,11.5205937347413
46,0046.dat,10.7498157119751,11.5207610435486
47,0047.dat,10.7499144458771,11.5215924301148
48,0048.dat,10.7501965236664,11.5222435703278
49,0049.dat,10.750285615921,11.5230394563675
50,0050.dat,10.750731048584,11.5241232700348
51,0051.dat,10.7513240909576,11.5260415277481
52,0052.dat,10.7520812511444,11.5274208993912
53,0053.dat,10.7526358985901,11.5300436124802
54,0054.dat,10.7533683681488,11.5309417152405
55,0055.dat,10.7532793998718,11.5310488996506
56,0056.dat,10.7536305236816,11.5324556283951
57,0057.dat,10.7537263011932,11.5316820058823
58,0058.dat,10.7540952205658,11.532655617714
59,0059.dat,10.7541118049622,11.5347467861176
60,0060.dat,10.7542899703979,11.5358170728684
61,0061.dat,10.7551249694824,11.5379260978699
62,0062.dat,10.7550449466705,11.5387770252228
63,0063.dat,10.7550109386444,11.5408286504746
64,0064.dat,10.755669927597,11.5427879266739
65,0065.dat,10.7553122806549,11.5431538190842
66,0066.dat,10.7552375030518,11.5455296344757
67,0067.dat,10.7551302623749,11.5486131868362
68,0068.dat,10.7551022624969,11.5521886720657
69,0069.dat,10.7552479362488,11.5529192438126
70,0070.dat,10.7554137420654,11.5553112678528
71,0071.dat,10.7553884220123,11.5581899623871
72,0072.dat,10.7552680778503,11.5608624296188
73,0073.dat,10.7549327373505,11.5600643615723
74,0074.dat,10.7547547531128,11.5602619028092
75,0075.dat,10.754724407196,11.5614207010269
76,0076.dat,10.7547558403015,11.5600138874054
77,0077.dat,10.7551937961578,11.5642035770417
78,0078.dat,10.7546727752686,11.5665792160035
79,0079.dat,10.754558506012,11.5684819126129
80,0080.dat,10.7544431114197,11.5679614019394
81,0081.dat,10.7549275779724,11.5687857160568
82,0082.dat,10.7551445484161,11.5699643964768
83,0083.dat,10.7559155845642,11.5737238769531
84,0084.dat,10.7562993335724,11.5753541002274
85,0085.dat,10.7569149208069,11.5760537357331
86,0086.dat,10.7572067832947,11.5758485078812
87,0087.dat,10.7576063919067,11.5768228750229
88,0088.dat,10.7574209880829,11.5753405046463
89,0089.dat,10.7579564476013,11.5786323614121
90,0090.dat,10.7581231880188,11.5789353971482
91,0091.dat,10.7585713768005,11.5774197483063
92,0092.dat,10.7595182418823,11.5789601898194
93,0093.dat,10.7600731754303,11.5803942499161
94,0094.dat,10.7599219512939,11.5823194389343
95,0095.dat,10.7600216579437,11.5815810909271
96,0096.dat,10.7603998184204,11.5824392566681
97,0097.dat,10.7598713874817,11.5823654727936
98,0098.dat,10.7601456165314,11.582260881424
99,0099.dat,10.760109500885,11.5855008878708
