time_index,filename,spread_p99_p01,tail_amplification,void_fraction_vs_t0000_p05,dense_fraction_vs_t0000_p95,log_density_entropy,gini_density,high_density_component_count,high_density_largest_component_size,high_density_mean_component_size
0,0000.dat,2.0978587436676,1.1307394526516,0.0500001907348633,0.0500001907348633,5.30542641141951,0.025037774573226,196,12734,107
1,0001.dat,2.10327933311462,1.13114560533106,0.0511479377746582,0.0499262809753418,5.33104234709003,0.0251057929365404,188,12703,111.553191489362
2,0002.dat,2.10819933891296,1.13150399744911,0.0523314476013184,0.049898624420166,5.32748552954079,0.0251734442284051,185,12695,113.362162162162
3,0003.dat,2.11301268577576,1.13185175890024,0.0535712242126465,0.0498342514038086,5.33129366829096,0.0252403910923813,185,12742,113.362162162162
4,0004.dat,2.11785015106201,1.13219950044436,0.0547647476196289,0.049746036529541,5.33488742159926,0.0253047194988103,185,12858,113.362162162162
5,0005.dat,2.12233520507812,1.13252128739887,0.0559225082397461,0.0496387481689453,5.33840723428693,0.0253668603828452,181,13037,115.867403314917
6,0006.dat,2.12712798118591,1.13287198291244,0.057034969329834,0.0495529174804688,5.32011358723423,0.025427771823451,181,13027,115.867403314917
7,0007.dat,2.13119235038758,1.13314931730177,0.0581479072570801,0.0495085716247559,5.30912471048804,0.0254872589792361,179,13026,117.162011173184
8,0008.dat,2.13496043205261,1.13342279650499,0.0592136383056641,0.0494165420532227,5.3123038267969,0.0255443994551534,176,13023,119.159090909091
9,0009.dat,2.13951477050781,1.13376751236187,0.0603194236755371,0.0493369102478027,5.31544462609904,0.0256000002484822,176,13033,119.159090909091
10,0010.dat,2.14388886451721,1.13410061514595,0.0613822937011719,0.049229621887207,5.31849875972578,0.0256550518907626,174,13008,120.528735632184
11,0011.dat,2.14769424438477,1.13437420299336,0.0624799728393555,0.049170970916748,5.32871018567157,0.0257102116578425,173,12989,121.225433526012
12,0012.dat,2.15172316551209,1.1346739103703,0.0635714530944824,0.0490803718566895,5.33175465485948,0.0257651430971633,173,13652,121.225433526012
13,0013.dat,2.15621405601502,1.13502676470022,0.0646214485168457,0.0490365028381348,5.34901374584861,0.0258183322816898,171,13640,122.643274853801
14,0014.dat,2.15993494033813,1.13531052887061,0.0656428337097168,0.0489635467529297,5.34460220187636,0.0258701580989975,170,13653,123.364705882353
15,0015.dat,2.16406621932984,1.13563228953257,0.0666885375976562,0.048917293548584,5.34030564735477,0.0259213529041895,172,13658,121.93023255814
16,0016.dat,2.16800004959106,1.13590880920259,0.0677309036254883,0.0488748550415039,5.32887165859653,0.02597169959376,170,13645,123.364705882353
17,0017.dat,2.17132448196411,1.13614896445679,0.0687823295593262,0.0488314628601074,5.3175355921518,0.0260206668534944,170,13646,123.364705882353
18,0018.dat,2.1746776676178,1.13640414009178,0.0697565078735352,0.0487666130065918,5.30617641473195,0.0260688765607944,170,13635,123.364705882353
19,0019.dat,2.17855819702148,1.13671585682839,0.0707836151123047,0.0486745834350586,5.30191235703397,0.0261173114351785,168,13618,124.833333333333
20,0020.dat,2.18199712753296,1.13699020623958,0.0718250274658203,0.0486044883728027,5.2977041670179,0.0261658948845467,165,13612,127.10303030303
21,0021.dat,2.18562385559082,1.13726219375503,0.0729002952575684,0.0485429763793945,5.30031679113265,0.0262133273615426,166,13617,126.33734939759
22,0022.dat,2.18840301513672,1.13746572842937,0.0739612579345703,0.0484585762023926,5.30277893557069,0.0262601708520189,165,13606,127.10303030303
23,0023.dat,2.1917428779602,1.1376971740047,0.0749902725219727,0.0483913421630859,5.30523736345629,0.0263064568925229,165,13595,127.10303030303
24,0024.dat,2.19489087104797,1.13794458589496,0.0760288238525391,0.0483274459838867,5.31464108548141,0.0263524076141093,162,13734,129.456790123457
25,0025.dat,2.19734324455261,1.13810871489426,0.0770859718322754,0.0482168197631836,5.3171741797776,0.0263986384347261,160,13722,131.075
26,0026.dat,2.20045730590821,1.13833395816267,0.0781393051147461,0.0481410026550293,5.32654457619238,0.0264442949704216,159,13691,131.899371069182
27,0027.dat,2.2031804561615,1.13852603116641,0.0792074203491211,0.0480589866638184,5.33591698954732,0.0264894203982786,158,13675,132.73417721519
28,0028.dat,2.20674654960632,1.13879818446384,0.0802216529846191,0.0479912757873535,5.33138447292367,0.0265344510800867,157,13666,133.579617834395
29,0029.dat,2.21043670654297,1.13908359342685,0.0812201499938965,0.0478806495666504,5.33382553502316,0.0265799230912172,156,13660,134.435897435897
30,0030.dat,2.21386713981628,1.13934093528001,0.0822744369506836,0.0478005409240723,5.33627212420665,0.0266257018508478,158,13638,132.73417721519
31,0031.dat,2.21729753494263,1.13960902484692,0.0833606719970703,0.0477256774902344,5.33174957317646,0.0266716450210309,157,13652,133.579617834395
32,0032.dat,2.2208002281189,1.13989568372303,0.0844807624816895,0.0476760864257812,5.32727126333722,0.0267168825960722,157,13639,133.579617834395
33,0033.dat,2.22343752861023,1.14008860687392,0.0855526924133301,0.0475959777832031,5.32966551919816,0.0267620255508625,154,13638,136.181818181818
34,0034.dat,2.22712196350098,1.14037680986923,0.0866446495056152,0.0475497245788574,5.31849108477828,0.0268079325584909,154,13640,136.181818181818
35,0035.dat,2.23080769538879,1.14065413575843,0.0877766609191895,0.0474820137023926,5.31411367327809,0.0268546611168778,154,13609,136.181818181818
36,0036.dat,2.23366996765137,1.14085825155818,0.0888791084289551,0.0474042892456055,5.30312016475832,0.0269001355083003,151,13645,138.887417218543
37,0037.dat,2.2367592716217,1.1410847574319,0.0899820327758789,0.0473222732543945,5.30543397497552,0.0269444465959707,153,13648,137.071895424837
38,0038.dat,2.23970622062683,1.14130983576387,0.0910739898681641,0.0472593307495117,5.3010519177815,0.0269886390431939,154,13656,136.181818181818
39,0039.dat,2.24309061050415,1.14157040164063,0.0922117233276367,0.0471749305725098,5.29675852450283,0.0270334678523552,152,13627,137.973684210526
40,0040.dat,2.24593195915222,1.14178700896644,0.0933351516723633,0.0471396446228027,5.29906271099888,0.0270777584938633,152,13617,137.973684210526
41,0041.dat,2.24912583351135,1.14200926546696,0.0944070816040039,0.0470738410949707,5.30135981926808,0.0271218825871142,153,13593,137.071895424837
42,0042.dat,2.25283693313598,1.14229375071603,0.095496654510498,0.0470361709594727,5.30363267218275,0.0271655128400434,152,13573,137.973684210526
43,0043.dat,2.25639002799988,1.14257520133894,0.0966110229492188,0.0469770431518555,5.30592617911417,0.0272097377099854,151,13578,138.887417218543
44,0044.dat,2.26001013755798,1.14286574642941,0.0977463722229004,0.0469131469726562,5.30165766587774,0.0272542240029932,151,13564,138.887417218543
45,0045.dat,2.26328597068786,1.14313067807752,0.0988669395446777,0.046851634979248,5.30387796584687,0.0272973086213528,152,13564,137.973684210526
46,0046.dat,2.26640629768372,1.14336630619577,0.0998978614807129,0.0467772483825684,5.28639990330251,0.02734012697969,151,13555,138.887417218543
47,0047.dat,2.26930640220642,1.14357608633439,0.101010799407959,0.0467333793640137,5.28866946414922,0.0273836803423275,149,13585,140.751677852349
48,0048.dat,2.2723561000824,1.143802249497,0.102190494537354,0.0466561317443848,5.29747116236209,0.0274265053439597,149,13547,140.751677852349
49,0049.dat,2.27508829116821,1.14400985483332,0.103341579437256,0.0465693473815918,5.29966390461497,0.0274696746025134,151,13540,138.887417218543
50,0050.dat,2.27818966865539,1.14425358071595,0.104481220245361,0.0465340614318848,5.30843912807977,0.0275124284170629,152,13525,137.973684210526
