time_index,filename,void_fraction,sheet_fraction,filament_fraction,node_fraction
0,0000.dat,0.569290161132812,0.401103973388672,0.0294227600097656,0.00018310546875
1,0001.dat,0.569362640380859,0.401012420654297,0.0294342041015625,0.00019073486328125
2,0002.dat,0.5694580078125,0.400913238525391,0.0294265747070312,0.000202178955078125
3,0003.dat,0.569370269775391,0.400997161865234,0.0294189453125,0.000213623046875
4,0004.dat,0.569297790527344,0.401069641113281,0.0294189453125,0.000213623046875
5,0005.dat,0.569282531738281,0.401115417480469,0.0293922424316406,0.000209808349609375
6,0006.dat,0.5694580078125,0.400978088378906,0.0293464660644531,0.000217437744140625
7,0007.dat,0.569614410400391,0.400840759277344,0.0293235778808594,0.00022125244140625
8,0008.dat,0.569793701171875,0.400642395019531,0.0293388366699219,0.000225067138671875
9,0009.dat,0.56988525390625,0.400619506835938,0.0292778015136719,0.000217437744140625
10,0010.dat,0.570003509521484,0.400520324707031,0.0292625427246094,0.000213623046875
11,0011.dat,0.570075988769531,0.400527954101562,0.0291786193847656,0.000217437744140625
12,0012.dat,0.570171356201172,0.400424957275391,0.0291862487792969,0.000217437744140625
13,0013.dat,0.570308685302734,0.400390625,0.029083251953125,0.000217437744140625
14,0014.dat,0.570484161376953,0.400241851806641,0.0290641784667969,0.000209808349609375
15,0015.dat,0.570426940917969,0.40032958984375,0.0290336608886719,0.000209808349609375
16,0016.dat,0.570426940917969,0.400371551513672,0.0290107727050781,0.00019073486328125
17,0017.dat,0.570526123046875,0.400283813476562,0.0289955139160156,0.000194549560546875
18,0018.dat,0.570533752441406,0.400325775146484,0.0289459228515625,0.000194549560546875
19,0019.dat,0.570472717285156,0.400421142578125,0.0289115905761719,0.000194549560546875
20,0020.dat,0.570537567138672,0.400444030761719,0.0288352966308594,0.00018310546875
21,0021.dat,0.570587158203125,0.400409698486328,0.0288238525390625,0.000179290771484375
22,0022.dat,0.570644378662109,0.400379180908203,0.0287857055664062,0.00019073486328125
23,0023.dat,0.570697784423828,0.400333404541016,0.0287895202636719,0.000179290771484375
24,0024.dat,0.570674896240234,0.400405883789062,0.0287399291992188,0.000179290771484375
25,0025.dat,0.570873260498047,0.400146484375,0.02880859375,0.000171661376953125
26,0026.dat,0.571041107177734,0.399978637695312,0.0288124084472656,0.0001678466796875
27,0027.dat,0.571002960205078,0.400047302246094,0.0287704467773438,0.000179290771484375
28,0028.dat,0.571079254150391,0.400005340576172,0.0287322998046875,0.00018310546875
29,0029.dat,0.571193695068359,0.399875640869141,0.0287437438964844,0.000186920166015625
30,0030.dat,0.5711669921875,0.39990234375,0.0287437438964844,0.000186920166015625
31,0031.dat,0.571155548095703,0.399909973144531,0.02874755859375,0.000186920166015625
