time_index,filename,mean_density,std_density,min_density,max_density,p01_density,p05_density,p50_density,p95_density,p99_density,p997_density,p999_density,mean_log_density,std_log_density,skew_log_density,kurtosis_log_density
0,0000.dat,9.4853811586097,0.431775245815834,7.98443365097046,13.8433084487915,8.62763595581055,8.84880881309509,9.45035743713379,10.2454437732697,10.7254946994781,11.1083346633911,11.4782102308274,0.976612639437256,0.0195193125396128,0.52085492652544,4.03826295656077
1,0001.dat,9.48304778790134,0.432833284887234,7.98098134994507,13.7292785644531,8.62342849731445,8.84498987197876,9.44785737991333,10.2449568748474,10.7267078304291,11.108637295723,11.479279045105,0.976503425361857,0.019571259542667,0.520860687568258,4.03644328658623
2,0002.dat,9.48071958980904,0.433884506165632,7.97755432128906,13.7475242614746,8.61927277565002,8.84132690429687,9.44536113739014,10.2447932720184,10.727472114563,11.1099204359055,11.4817906322479,0.976394428661408,0.0196229228106395,0.520853160958286,4.03438940166734
3,0003.dat,9.47840584708183,0.43492150389086,7.9741678237915,13.7562923431396,8.61513764381409,8.83743476867676,9.44288730621338,10.2444326877594,10.7281503295898,11.1109886655808,11.4832052679062,0.97628608992505,0.0196739860371217,0.520763322674714,4.03179269133678
4,0004.dat,9.47617565848918,0.435915112016882,7.97092342376709,13.7569093704224,8.61107119560242,8.83376364707947,9.44048166275024,10.2438621520996,10.7289213466644,11.1123519392014,11.4853631229401,0.976181643531781,0.0197229900636038,0.520620197379107,4.02890944093216
5,0005.dat,9.47401408535757,0.436871810540774,7.96779727935791,13.7588768005371,8.60718742370605,8.83012208938599,9.43822765350342,10.2431143760681,10.7295226287842,11.1140200948715,11.4860245141983,0.976080393326733,0.0197702569551543,0.520413197614608,4.025774470663
6,0006.dat,9.47188355024446,0.437806673281737,7.96474027633667,13.8390016555786,8.60330351829529,8.82659635543823,9.4359769821167,10.2427147865295,10.7304314994812,11.1157583904266,11.4853953037262,0.975980584585252,0.0198165324964392,0.520150728657262,4.02235136192379
7,0007.dat,9.46979463712728,0.438717103424966,7.96176338195801,13.8900966644287,8.59949897766113,8.82322406768799,9.43377590179443,10.2421812534332,10.7306913280487,11.1179859857559,11.4884158754349,0.975882710729427,0.0198616681557098,0.51984851739449,4.01887266416853
8,0008.dat,9.46778144907262,0.439589594991309,7.95891332626343,13.9094038009644,8.59603889465332,8.81990103721619,9.43161201477051,10.2419170856476,10.7309993267059,11.118709066391,11.488877067566,0.975788369180943,0.0199049841368477,0.519517248132289,4.01538087897749
9,0009.dat,9.46581295133365,0.440436411162119,7.95614099502563,13.9128093719482,8.59251643180847,8.81681537628174,9.42952251434326,10.241320514679,10.7320312023163,11.1207523670197,11.491656367302,0.97569611042292,0.019947091336398,0.51915750195106,4.0118191434861
10,0010.dat,9.46385179143886,0.44127282917316,7.95339965820312,13.8996286392212,8.58907127380371,8.81382527351379,9.42745161056519,10.2406477451324,10.7329601383209,11.1221318120956,11.4928665313721,0.975604186470903,0.0199887538893502,0.518758140981617,4.00818705602085
11,0011.dat,9.4618805751345,0.442108901889562,7.9506630897522,13.8802728652954,8.58561899185181,8.81057167053223,9.42541265487671,10.240113401413,10.7333132362366,11.1226517839432,11.4930934410096,0.975511776596879,0.0200304573688357,0.518321779368001,4.00437982698556
12,0012.dat,9.45990974549341,0.44294053198755,7.94794607162476,13.8469305038452,8.58218961715698,8.80754871368408,9.42330169677734,10.2396091938019,10.7339127826691,11.1231888990402,11.4950403356553,0.975419369979634,0.0200719822966312,0.517876855490584,4.00056868681361
13,0013.dat,9.45799695909477,0.443744551469097,7.9453239440918,13.7840089797974,8.57886563301086,8.8045693397522,9.42125511169434,10.2391760349274,10.7350796890259,11.1239967670441,11.49475527668,0.975329668486596,0.0201121695157926,0.517426278880487,3.99686115002047
14,0014.dat,9.45612736072394,0.444527368645919,7.94277477264404,13.7975721359253,8.57570601463318,8.80166721343994,9.41925573348999,10.238957118988,10.7356409549713,11.1243420705795,11.4932541770936,0.975241977275876,0.0201513261567164,0.51698965960969,3.99328531388682
15,0015.dat,9.4542740657871,0.445300575390346,7.94025993347168,13.8143520355225,8.57251268386841,8.79875330924988,9.41727924346924,10.2385195732117,10.7365789031982,11.1250548238754,11.4923097896576,0.975155035801039,0.0201900264674817,0.516566493421867,3.9898213903617
16,0016.dat,9.45244850212248,0.44606075774902,7.9378023147583,13.8810796737671,8.56911947250366,8.79578409194946,9.4153528213501,10.2381439208984,10.7371195220947,11.1256324081421,11.4933256368638,0.975069378090072,0.0202280915363339,0.516158774543308,3.98651902426012
17,0017.dat,9.45067118584507,0.446800813998049,7.93542051315308,13.9541931152344,8.56604579925537,8.79291915893555,9.41342687606812,10.2377087593079,10.7373702812195,11.1264107446671,11.4965660142899,0.974985965417806,0.0202651441850432,0.515797841871636,3.98346889551646
